id,time,temp,wv,humi
108,2021-02-09 00:01,-4.7,2,49.6
108,2021-02-09 00:02,-4.7,2.3,50
108,2021-02-09 00:03,-4.8,1.3,49.3
108,2021-02-09 00:04,-4.8,1,49.8
108,2021-02-09 00:05,-4.8,1.4,49.1
108,2021-02-09 00:06,-4.8,1.6,50.5
108,2021-02-09 00:07,-4.8,2.2,49.5
108,2021-02-09 00:08,-4.8,2.3,50.1
108,2021-02-09 00:09,-4.8,2.3,50.1
108,2021-02-09 00:10,-4.8,2,50
108,2021-02-09 00:11,-4.8,2,50.8
108,2021-02-09 00:12,-4.8,2.5,49.9
108,2021-02-09 00:13,-4.8,1.6,49.7
108,2021-02-09 00:14,-4.8,2.1,50.1
108,2021-02-09 00:15,-4.8,2.8,50.1
108,2021-02-09 00:16,-4.8,1.9,49.9
108,2021-02-09 00:17,-4.8,2.2,49.4
108,2021-02-09 00:18,-4.8,2.2,49.9
108,2021-02-09 00:19,-4.8,1.9,50
108,2021-02-09 00:20,-4.8,2,50.1
108,2021-02-09 00:21,-4.8,2,50.3
108,2021-02-09 00:22,-4.8,3.1,49.7
108,2021-02-09 00:23,-4.8,3.1,49.8
108,2021-02-09 00:24,-4.8,3.2,49.7
108,2021-02-09 00:25,-4.8,3.3,49
108,2021-02-09 00:26,-4.8,1.8,49.1
108,2021-02-09 00:27,-4.8,1.4,48.5
108,2021-02-09 00:28,-4.9,1.5,49.4
108,2021-02-09 00:29,-4.9,1.8,49.4
108,2021-02-09 00:30,-4.9,2.1,50
108,2021-02-09 00:31,-4.9,2.9,49.9
108,2021-02-09 00:32,-4.8,2.7,49.3
108,2021-02-09 00:33,-4.8,2.5,49.1
108,2021-02-09 00:34,-4.9,2.8,49.6
108,2021-02-09 00:35,-4.9,2.8,49.4
108,2021-02-09 00:36,-4.9,2,48.2
108,2021-02-09 00:37,-4.9,2.3,48.9
108,2021-02-09 00:38,-4.9,3.1,49.1
108,2021-02-09 00:39,-4.8,2.6,48.5
108,2021-02-09 00:40,-4.9,2.6,49
108,2021-02-09 00:41,-4.9,2.3,49.4
108,2021-02-09 00:42,-4.9,2.4,49.2
108,2021-02-09 00:43,-4.9,2.2,49.4
108,2021-02-09 00:44,-4.8,2.8,49.1
108,2021-02-09 00:45,-4.9,1.4,48.5
108,2021-02-09 00:46,-4.9,.7,48.6
108,2021-02-09 00:47,-4.9,.9,49
108,2021-02-09 00:48,-4.9,.8,48.2
108,2021-02-09 00:49,-4.9,1,48.3
108,2021-02-09 00:50,-4.9,.8,48.7
108,2021-02-09 00:51,-5,.5,48.9
108,2021-02-09 00:52,-5,.7,48.3
108,2021-02-09 00:53,-5,.9,49.1
108,2021-02-09 00:54,-5,1.2,49.4
108,2021-02-09 00:55,-5,1.3,48.9
108,2021-02-09 00:56,-5,2,49.4
108,2021-02-09 00:57,-5,2.4,49.5
108,2021-02-09 00:58,-5,2.8,49.8
108,2021-02-09 00:59,-5,2.5,49.4
108,2021-02-09 01:00,-5,2.3,49.4
108,2021-02-09 01:01,-5.1,2.3,49.6
108,2021-02-09 01:02,-5.1,2.1,50.2
108,2021-02-09 01:03,-5.1,1.9,50.5
108,2021-02-09 01:04,-5.1,2.5,49.9
108,2021-02-09 01:05,-5,2.2,50.4
108,2021-02-09 01:06,-5,2.3,50
108,2021-02-09 01:07,-5,1.7,50.6
108,2021-02-09 01:08,-5,1.8,49.7
108,2021-02-09 01:09,-5.1,1.6,50.2
108,2021-02-09 01:10,-5.1,1.5,50.1
108,2021-02-09 01:11,-5.1,1.6,50.9
108,2021-02-09 01:12,-5.1,1.7,50
108,2021-02-09 01:13,-5.1,1.5,50.5
108,2021-02-09 01:14,-5.1,1.7,50.7
108,2021-02-09 01:15,-5.1,1.1,50
108,2021-02-09 01:16,-5.1,1.4,50.8
108,2021-02-09 01:17,-5.1,1.4,51
108,2021-02-09 01:18,-5.2,1.2,50.5
108,2021-02-09 01:19,-5.2,1.4,50.6
108,2021-02-09 01:20,-5.2,2,50.9
108,2021-02-09 01:21,-5.2,1.9,50.6
108,2021-02-09 01:22,-5.2,1.5,51.2
108,2021-02-09 01:23,-5.2,1.5,50.7
108,2021-02-09 01:24,-5.2,1.7,51.4
108,2021-02-09 01:25,-5.2,1.9,50.5
108,2021-02-09 01:26,-5.2,1.5,50.9
108,2021-02-09 01:27,-5.2,2.3,51.1
108,2021-02-09 01:28,-5.2,2.4,50.4
108,2021-02-09 01:29,-5.2,1.6,50.5
108,2021-02-09 01:30,-5.2,1.9,50.8
108,2021-02-09 01:31,-5.2,1.6,50.6
108,2021-02-09 01:32,-5.2,2.3,51.3
108,2021-02-09 01:33,-5.2,2.3,50.5
108,2021-02-09 01:34,-5.2,2.1,50.9
108,2021-02-09 01:35,-5.2,2.1,50.2
108,2021-02-09 01:36,-5.2,2.3,50.3
108,2021-02-09 01:37,-5.2,2,50.8
108,2021-02-09 01:38,-5.2,2.1,50.3
108,2021-02-09 01:39,-5.2,2.1,50.1
108,2021-02-09 01:40,-5.1,1.4,50.5
108,2021-02-09 01:41,-5.1,1.8,50.6
108,2021-02-09 01:42,-5.1,2.2,50.7
